Kab/Kota,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Timur (Persen)
Kabupaten Pacitan,13.8
Kabupaten Ponorogo,9.32
Kabupaten Trenggalek,10.96
Kabupaten Tulungagung,6.71
Kabupaten Blitar,8.71
Kabupaten Kediri,10.65
Kabupaten Malang,9.55
Kabupaten Lumajang,9.06
Kabupaten Jember,9.39
Kabupaten Banyuwangi,7.51
Kabupaten Bondowoso,13.47
Kabupaten Situbondo,11.78
Kabupaten Probolinggo,17.12
Kabupaten Pasuruan,8.96
Kabupaten Sidoarjo,5.36
Kabupaten Mojokerto,9.71
Kabupaten Jombang,9.04
Kabupaten Nganjuk,10.7
Kabupaten Madiun,10.79
Kabupaten Magetan,9.84
Kabupaten Ngawi,14.15
Kabupaten Bojonegoro,12.21
Kabupaten Tuban,15.02
Kabupaten Lamongan,12.53
Kabupaten Gresik,11.06
Kabupaten Bangkalan,19.44
Kabupaten Sampang,21.61
Kabupaten Pamekasan,13.93
Kabupaten Sumenep,18.76
Kota Kediri,7.23
Kota Blitar,7.37
Kota Malang,4.37
Kota Probolinggo,6.65
Kota Pasuruan,6.37
Kota Mojokerto,5.98
Kota Madiun,4.76
Kota Surabaya,4.72
Kota Batu,3.79
