Nama_Kabupaten_Kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi
Kabupaten Kediri,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,4.0,7821.61,Kota Kediri,5.76
Kabupaten Malang,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,1.0,17416.29,Kota Malang,2.98
Kabupaten Malang,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,2.0,17888.26,Kota Malang,5.3
Kabupaten Malang,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,3.0,18421.05,Kota Malang,7.08
Kabupaten Malang,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,4.0,18410.87,Kota Malang,6.45
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,1.0,5589.13,Kabupaten Jember,2.87
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,2.0,6075.55,Kabupaten Jember,5.53
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,3.0,6114.61,Kabupaten Jember,7.3
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,4.0,5847.29,Kabupaten Jember,7.39
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,1.0,13360.61,Kabupaten Jember,2.87
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,2.0,14516.92,Kabupaten Jember,5.53
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,3.0,15288.05,Kabupaten Jember,7.3
Kabupaten Jember,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,4.0,14001.56,Kabupaten Jember,7.39
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,1.0,13487.81,Kabupaten Banyuwangi,2.19
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,2.0,14542.09,Kabupaten Banyuwangi,4.42
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,3.0,14617.92,Kabupaten Banyuwangi,5.46
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,4.0,15284.73,Kabupaten Banyuwangi,6.06
