Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kabupaten Jember,2022,IV,7.39,Kabupaten Jember
Kabupaten Jember,2023,I,6.48,Kabupaten Jember
Kabupaten Jember,2023,II,4.31,Kabupaten Jember
Kabupaten Jember,2023,III,3.05,Kabupaten Jember
Kabupaten Jember,2023,IV,2.29,Kabupaten Jember
Kabupaten Jember,2024,I,2.53,Kabupaten Jember
Kabupaten Jember,2024,II,1.99,Kabupaten Jember
Kabupaten Jember,2024,III,1.56,Kabupaten Jember
Kabupaten Jember,2024,IV,1.74,Kabupaten Jember
Kabupaten Jember,2025,I,1.14,Kabupaten Jember
Kabupaten Banyuwangi,2022,I,2.19,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2022,II,4.42,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2022,III,5.46,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2022,IV,6.06,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2023,I,5.71,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2023,II,3.97,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2023,III,3.1,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2023,IV,2.15,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2024,I,2.67,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2024,II,2.38,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2024,III,2.07,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2024,IV,1.73,Kabupaten Banyuwangi
Kabupaten Banyuwangi,2025,I,1.89,Kabupaten Banyuwangi
Kabupaten Bondowoso,2022,I,2.87,Kabupaten Jember
Kabupaten Bondowoso,2022,II,5.53,Kabupaten Jember
Kabupaten Bondowoso,2022,III,7.3,Kabupaten Jember
Kabupaten Bondowoso,2022,IV,7.39,Kabupaten Jember
Kabupaten Bondowoso,2023,I,6.48,Kabupaten Jember
Kabupaten Bondowoso,2023,II,4.31,Kabupaten Jember
Kabupaten Bondowoso,2023,III,3.05,Kabupaten Jember
Kabupaten Bondowoso,2023,IV,2.29,Kabupaten Jember
Kabupaten Bondowoso,2024,I,2.53,Kabupaten Jember
Kabupaten Bondowoso,2024,II,1.99,Kabupaten Jember
Kabupaten Bondowoso,2024,III,1.56,Kabupaten Jember
Kabupaten Bondowoso,2024,IV,1.74,Kabupaten Jember
Kabupaten Bondowoso,2025,I,1.14,Kabupaten Jember
Kabupaten Situbondo,2022,I,2.87,Kabupaten Jember
Kabupaten Situbondo,2022,II,5.53,Kabupaten Jember
Kabupaten Situbondo,2022,III,7.3,Kabupaten Jember
Kabupaten Situbondo,2022,IV,7.39,Kabupaten Jember
Kabupaten Situbondo,2023,I,6.48,Kabupaten Jember
Kabupaten Situbondo,2023,II,4.31,Kabupaten Jember
Kabupaten Situbondo,2023,III,3.05,Kabupaten Jember
Kabupaten Situbondo,2023,IV,2.29,Kabupaten Jember
Kabupaten Situbondo,2024,I,2.53,Kabupaten Jember
Kabupaten Situbondo,2024,II,1.99,Kabupaten Jember
Kabupaten Situbondo,2024,III,1.56,Kabupaten Jember
Kabupaten Situbondo,2024,IV,1.74,Kabupaten Jember
Kabupaten Situbondo,2025,I,1.14,Kabupaten Jember
Kabupaten Probolinggo,2022,I,2.62,Kota Malang
Kabupaten Probolinggo,2022,II,4.95,Kota Malang
Kabupaten Probolinggo,2022,III,6.24,Kota Malang
Kabupaten Probolinggo,2022,IV,5.95,Kota Malang
Kabupaten Probolinggo,2023,I,5.39,Kota Malang
Kabupaten Probolinggo,2023,II,3.62,Kota Malang
Kabupaten Probolinggo,2023,III,2.725,Kota Malang
Kabupaten Probolinggo,2023,IV,2.71,Kota Malang
Kabupaten Probolinggo,2024,I,3.22,Kota Malang
Kabupaten Probolinggo,2024,II,2.155,Kota Malang
Kabupaten Probolinggo,2024,III,1.795,Kota Malang
Kabupaten Probolinggo,2024,IV,1.63,Kota Malang
Kabupaten Probolinggo,2025,I,0.81,Kota Malang
Kabupaten Pasuruan,2022,I,2.62,Kota Malang
Kabupaten Pasuruan,2022,II,4.95,Kota Malang
Kabupaten Pasuruan,2022,III,6.24,Kota Malang
Kabupaten Pasuruan,2022,IV,5.95,Kota Malang
Kabupaten Pasuruan,2023,I,5.39,Kota Malang
Kabupaten Pasuruan,2023,II,3.62,Kota Malang
Kabupaten Pasuruan,2023,III,2.725,Kota Malang
Kabupaten Pasuruan,2023,IV,2.71,Kota Malang
Kabupaten Pasuruan,2024,I,3.22,Kota Malang
Kabupaten Pasuruan,2024,II,2.155,Kota Malang
Kabupaten Pasuruan,2024,III,1.795,Kota Malang
Kabupaten Pasuruan,2024,IV,1.63,Kota Malang
Kabupaten Pasuruan,2025,I,0.81,Kota Malang
Kabupaten Sidoarjo,2022,I,3.16,Kota Surabaya
