Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kota Madiun,2023,IV,2.35,Kota Madiun
Kota Madiun,2024,I,3.05,Kota Madiun
Kota Madiun,2024,II,1.85,Kota Madiun
Kota Madiun,2024,III,1.22,Kota Madiun
Kota Madiun,2024,IV,1.31,Kota Madiun
Kota Madiun,2025,I,0.2,Kota Madiun
Kota Surabaya,2022,I,3.16,Kota Surabaya
Kota Surabaya,2022,II,4.89,Kota Surabaya
Kota Surabaya,2022,III,6.91,Kota Surabaya
Kota Surabaya,2022,IV,6.59,Kota Surabaya
Kota Surabaya,2023,I,6.3,Kota Surabaya
Kota Surabaya,2023,II,4.91,Kota Surabaya
Kota Surabaya,2023,III,3.14,Kota Surabaya
Kota Surabaya,2023,IV,3.03,Kota Surabaya
Kota Surabaya,2024,I,2.99,Kota Surabaya
Kota Surabaya,2024,II,2.35,Kota Surabaya
Kota Surabaya,2024,III,1.65,Kota Surabaya
Kota Surabaya,2024,IV,1.38,Kota Surabaya
Kota Surabaya,2025,I,0.63,Kota Surabaya
Kota Batu,2022,I,2.62,Kota Malang
Kota Batu,2022,II,4.95,Kota Malang
Kota Batu,2022,III,6.24,Kota Malang
Kota Batu,2022,IV,5.95,Kota Malang
Kota Batu,2023,I,5.39,Kota Malang
Kota Batu,2023,II,3.62,Kota Malang
Kota Batu,2023,III,2.725,Kota Malang
Kota Batu,2023,IV,2.71,Kota Malang
Kota Batu,2024,I,3.22,Kota Malang
Kota Batu,2024,II,2.155,Kota Malang
Kota Batu,2024,III,1.795,Kota Malang
Kota Batu,2024,IV,1.63,Kota Malang
Kota Batu,2025,I,0.81,Kota Malang
