Nama_Kabupaten_Kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita
Kabupaten Bangkalan,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,3.0,4508.12,Kota Surabaya,1.65,0.301,0.0
Kabupaten Bangkalan,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,4.0,4239.63,Kota Surabaya,"1,38",0.301,0.0
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,1.0,13487.81,Kabupaten Banyuwangi,2.19,0.329,2938.171559633028
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,2.0,14542.09,Kabupaten Banyuwangi,4.42,0.329,0.0
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,3.0,14617.92,Kabupaten Banyuwangi,5.46,0.329,0.0
Kabupaten Banyuwangi,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,4.0,15284.73,Kabupaten Banyuwangi,6.06,0.329,0.0
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,1.0,14311.95,Kabupaten Banyuwangi,5.71,0.351,0.0
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,2.0,15382.49,Kabupaten Banyuwangi,3.97,0.351,0.0
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,3.0,15536.79,Kabupaten Banyuwangi,3.1,0.351,0.0
Kabupaten Banyuwangi,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,4.0,15617.12,Kabupaten Banyuwangi,2.15,0.351,0.0
Kabupaten Banyuwangi,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,1.0,14990.88,Kabupaten Banyuwangi,2.67,0.312,0.0
Kabupaten Banyuwangi,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,2.0,16136.94,Kabupaten Banyuwangi,2.38,0.312,0.0
Kabupaten Banyuwangi,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,3.0,16317.59,Kabupaten Banyuwangi,2.07,0.312,0.0
Kabupaten Banyuwangi,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,4.0,16248.16,Kabupaten Banyuwangi,"1,73",0.312,0.0
Kabupaten Blitar,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,1.0,6591.92,Kota Kediri,2.33,0.335,66.7378733572282
Kabupaten Blitar,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,2.0,7025.3,Kota Kediri,4.03,0.335,0.0
Kabupaten Blitar,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,3.0,6699.92,Kota Kediri,6.29,0.335,0.0
Kabupaten Blitar,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,4.0,6720.19,Kota Kediri,5.76,0.335,0.0
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,1.0,6905.4,Kota Kediri,5.36,0.36,0.0
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,2.0,7313.55,Kota Kediri,3.92,0.36,0.0
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,3.0,7109.3,Kota Kediri,2.55,0.36,0.0
Kabupaten Blitar,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,4.0,6911.6,Kota Kediri,2.64,0.36,0.0
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,1.0,7056.4,Kota Kediri,2.88,0.353,0.0
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,2.0,7699.31,Kota Kediri,1.72,0.353,0.0
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,3.0,7472.31,Kota Kediri,0.88,0.353,0.0
Kabupaten Blitar,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,4.0,7265.78,Kota Kediri,"1,19",0.353,0.0
Kabupaten Bojonegoro,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,1.0,15712.1,Kota Surabaya,3.16,0.28,203.038219895288
Kabupaten Bojonegoro,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,2.0,15316.65,Kota Surabaya,4.89,0.28,0.0
Kabupaten Bojonegoro,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,3.0,15122.55,Kota Surabaya,6.91,0.28,0.0
Kabupaten Bojonegoro,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,4.0,15631.56,Kota Surabaya,6.59,0.28,0.0
Kabupaten Bojonegoro,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,1.0,16133.63,Kota Surabaya,6.3,0.283,0.0
Kabupaten Bojonegoro,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,2.0,16269.2,Kota Surabaya,4.91,0.283,0.0
Kabupaten Bojonegoro,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,3.0,15821.75,Kota Surabaya,3.14,0.283,0.0
Kabupaten Bojonegoro,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,4.0,15086.12,Kota Surabaya,3.03,0.283,0.0
Kabupaten Bojonegoro,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,1.0,15533.79,Kota Surabaya,2.99,0.31,0.0
Kabupaten Bojonegoro,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,2.0,16544.16,Kota Surabaya,2.35,0.31,0.0
Kabupaten Bojonegoro,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,3.0,16058.48,Kota Surabaya,1.65,0.31,0.0
Kabupaten Bojonegoro,471457,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,4.0,16230.99,Kota Surabaya,"1,38",0.31,0.0
Kabupaten Bondowoso,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,1.0,3407.69,Kabupaten Jember,2.87,0.365,39021.0
Kabupaten Bondowoso,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,2.0,3819.63,Kabupaten Jember,5.53,0.365,0.0
Kabupaten Bondowoso,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,3.0,3639.68,Kabupaten Jember,7.3,0.365,0.0
Kabupaten Bondowoso,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,4.0,3543.2,Kabupaten Jember,7.39,0.365,0.0
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,1.0,3542.89,Kabupaten Jember,6.48,0.35,0.0
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,2.0,3972.53,Kabupaten Jember,4.31,0.35,0.0
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,3.0,3806.79,Kabupaten Jember,3.05,0.35,0.0
Kabupaten Bondowoso,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,4.0,3753.41,Kabupaten Jember,2.29,0.35,0.0
Kabupaten Bondowoso,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,1.0,3713.04,Kabupaten Jember,2.53,0.333,0.0
Kabupaten Bondowoso,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,2.0,4165.03,Kabupaten Jember,1.99,0.333,0.0
Kabupaten Bondowoso,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,3.0,4010.07,Kabupaten Jember,1.56,0.333,0.0
Kabupaten Bondowoso,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,4.0,3921.13,Kabupaten Jember,"1,74",0.333,0.0
Kabupaten Gresik,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,1.0,26825.51,Kota Surabaya,3.16,0.363,911.8325102149582
Kabupaten Gresik,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,2.0,27189.86,Kota Surabaya,4.89,0.363,0.0
Kabupaten Gresik,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,3.0,27480.14,Kota Surabaya,6.91,0.363,0.0
Kabupaten Gresik,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,4.0,27301.37,Kota Surabaya,6.59,0.363,0.0
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,1.0,27814.28,Kota Surabaya,6.3,0.33,0.0
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,2.0,28657.1,Kota Surabaya,4.91,0.33,0.0
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,3.0,28557.48,Kota Surabaya,3.14,0.33,0.0
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,4.0,28796.56,Kota Surabaya,3.03,0.33,0.0
Kabupaten Gresik,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,1.0,29253.93,Kota Surabaya,2.99,0.322,0.0
Kabupaten Gresik,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,2.0,29819.85,Kota Surabaya,2.35,0.322,0.0
Kabupaten Gresik,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,3.0,30220.45,Kota Surabaya,1.65,0.322,0.0
Kabupaten Gresik,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,4.0,29980.19,Kota Surabaya,"1,38",0.322,0.0
