kabupaten_kota,tahun,kuartal,total investasi_rp_juta,total investasi_us_ribu,total_tki,investasi_per_kapita
Kabupaten Bojonegoro,2023,3,185158.4,12511.4,1060,0.0
Kabupaten Bojonegoro,2023,4,15018.3,1014.5999999999999,343,0.0
Kabupaten Bojonegoro,2024,1,63702.0,4247.0,1238,0.0
Kabupaten Bojonegoro,2024,2,125208.4,8347.0,1727,0.0
Kabupaten Bojonegoro,2024,3,53372.6,3558.2000000000003,1164,0.0
Kabupaten Bojonegoro,2024,4,42238.9,2815.6,2323,0.0
Kabupaten Bondowoso,2022,2,205494.6,14320.2,23,0.0
Kabupaten Bondowoso,2022,3,94892.59999999999,6612.6,16,0.0
Kabupaten Bondowoso,2022,4,41250.7,2874.7,21,0.0
Kabupaten Bondowoso,2023,1,17127.800000000003,1157.3,67,0.0
Kabupaten Bondowoso,2023,2,97674.5,6599.599999999999,423,0.0
Kabupaten Bondowoso,2023,3,387490.6,26181.1,253,0.0
Kabupaten Bondowoso,2023,4,483128.6,32643.7,45,0.0
Kabupaten Bondowoso,2024,1,443696.0,29579.600000000002,156,0.0
Kabupaten Bondowoso,2024,2,480074.2,32004.2,645,0.0
Kabupaten Bondowoso,2024,3,201859.2,13455.4,408,0.0
Kabupaten Bondowoso,2024,4,152785.30000000002,10185.4,85,0.0
Kabupaten Gresik,2022,2,7552957.1,526338.1,8535,0.0
Kabupaten Gresik,2022,3,8098455.6,564353.4,5343,0.0
Kabupaten Gresik,2022,4,10802938.7,752819.6,5898,0.0
Kabupaten Gresik,2023,1,10809485.799999999,730371.7,6468,0.0
Kabupaten Gresik,2023,2,12092789.6,817081.7,8053,0.0
Kabupaten Gresik,2023,3,14438496.1,975572.6,10407,0.0
Kabupaten Gresik,2023,4,12121160.7,818997.0,11707,0.0
Kabupaten Gresik,2024,1,11749768.6,783318.5,6597,0.0
Kabupaten Gresik,2024,2,8941840.4,596122.6,7261,0.0
Kabupaten Gresik,2024,3,10434589.8,695637.6,7456,0.0
Kabupaten Gresik,2024,4,6782542.800000001,452167.7,3588,0.0
Kabupaten Jember,2022,2,83140.5,5793.7,1197,0.0
Kabupaten Jember,2022,3,508735.6,35451.5,161,0.0
Kabupaten Jember,2022,4,479030.0,33381.9,575,0.0
Kabupaten Jember,2023,1,243414.30000000002,16446.8,293,0.0
Kabupaten Jember,2023,2,310053.10000000003,20949.7,1135,0.0
Kabupaten Jember,2023,3,156289.7,10557.2,3122,0.0
Kabupaten Jember,2023,4,211946.7,14320.8,3807,0.0
Kabupaten Jember,2024,1,463045.7,30869.1,1873,0.0
Kabupaten Jember,2024,2,517956.89999999997,34528.7,1746,0.0
Kabupaten Jember,2024,3,223998.40000000002,14933.1,4134,0.0
Kabupaten Jember,2024,4,309954.7,20665.1,6732,0.0
Kabupaten Jombang,2022,2,473304.9,32982.3,2768,0.0
Kabupaten Jombang,2022,3,442940.4,30867.0,1398,0.0
Kabupaten Jombang,2022,4,300155.2,20916.8,684,0.0
Kabupaten Jombang,2023,1,127842.8,8637.699999999999,859,0.0
Kabupaten Jombang,2023,2,378201.6,25554.1,1869,0.0
Kabupaten Jombang,2023,3,896091.6,60547.0,1493,0.0
Kabupaten Jombang,2023,4,189264.0,12788.1,1813,0.0
Kabupaten Jombang,2024,1,122591.7,8173.0,1154,0.0
Kabupaten Jombang,2024,2,558679.9,37246.2,2827,0.0
Kabupaten Jombang,2024,3,462277.4,30818.5,2018,0.0
Kabupaten Jombang,2024,4,407969.3,27197.9,3439,0.0
Kabupaten Kediri,2022,2,327109.3,22794.2,47,0.0
Kabupaten Kediri,2022,3,401966.5,28011.600000000002,160,0.0
Kabupaten Kediri,2022,4,548093.6,38194.700000000004,465,0.0
Kabupaten Kediri,2023,1,539608.7,36459.9,70,0.0
Kabupaten Kediri,2023,2,192470.30000000002,13004.800000000001,1409,0.0
Kabupaten Kediri,2023,3,1243963.9,84051.90000000001,718,0.0
Kabupaten Kediri,2023,4,512129.7,34603.2,641,0.0
Kabupaten Kediri,2024,1,181975.0,12131.7,735,0.0
Kabupaten Kediri,2024,2,2676182.0999999996,178412.5,1624,0.0
Kabupaten Kediri,2024,3,719466.3,47964.4,1542,0.0
Kabupaten Kediri,2024,4,390317.4,26019.9,373,0.0
Kabupaten Lamongan,2022,2,697760.7999999999,48624.2,1012,0.0
Kabupaten Lamongan,2022,3,633520.8,44147.7,462,0.0
Kabupaten Lamongan,2022,4,182065.5,12687.3,343,0.0
Kabupaten Lamongan,2023,1,211506.7,14291.099999999999,632,0.0
Kabupaten Lamongan,2023,2,199589.3,13485.699999999999,2968,0.0
Kabupaten Lamongan,2023,3,1342427.1,90704.1,3231,0.0
