kabupaten_kota,tahun,kuartal,total investasi_rp_juta,total investasi_us_ribu,total_tki,investasi_per_kapita
Kota Madiun,2024,4,135290.8,9018.7,448,0.0
Kota Malang,2022,2,187047.4,13034.7,388,0.0
Kota Malang,2022,3,137715.8,9596.7,259,0.0
Kota Malang,2022,4,246582.4,17183.3,264,0.0
Kota Malang,2023,1,142188.7,9607.2,454,0.0
Kota Malang,2023,2,515856.4,34855.5,417,0.0
Kota Malang,2023,3,403029.8,27231.4,1465,0.0
Kota Malang,2023,4,1019752.0,68901.8,1182,0.0
Kota Malang,2024,1,820204.1,54680.5,898,0.0
Kota Malang,2024,2,934725.9,62314.8,1900,0.0
Kota Malang,2024,3,373497.39999999997,24898.6,2089,0.0
Kota Malang,2024,4,767544.3,51167.799999999996,2260,0.0
Kota Mojokerto,2022,2,30602.399999999994,2132.3999999999996,22,0.0
Kota Mojokerto,2022,3,13016.4,907.1,198,0.0
Kota Mojokerto,2022,4,44160.0,3077.3,113,0.0
Kota Mojokerto,2023,1,1734.1,117.3,20,0.0
Kota Mojokerto,2023,2,194631.9,13150.7,776,0.0
Kota Mojokerto,2023,3,18143.5,1225.7,181,0.0
Kota Mojokerto,2023,4,10060.6,679.6,395,0.0
Kota Mojokerto,2024,1,16036.2,1068.9,448,0.0
Kota Mojokerto,2024,2,12785.199999999999,852.2,183,0.0
Kota Mojokerto,2024,3,34473.8,2298.6000000000004,116,0.0
Kota Mojokerto,2024,4,154825.80000000002,10321.5,309,0.0
Kota Pasuruan,2022,2,4122.7,287.2,13,0.0
Kota Pasuruan,2022,3,4215.9,293.7,206,0.0
Kota Pasuruan,2022,4,11373.2,792.5,112,0.0
Kota Pasuruan,2023,1,13364.2,902.8,21,0.0
Kota Pasuruan,2023,2,56886.7,3843.7,0,0.0
Kota Pasuruan,2023,3,21995.9,1486.4,115,0.0
Kota Pasuruan,2023,4,7953.9,537.6,519,0.0
Kota Pasuruan,2024,1,5363.3,357.7,48,0.0
Kota Pasuruan,2024,2,27280.8,1818.5,156,0.0
Kota Pasuruan,2024,3,2488.1,165.9,105,0.0
Kota Pasuruan,2024,4,17097.0,1139.6999999999998,339,0.0
Kota Probolinggo,2022,2,16909.9,1178.3,14,0.0
Kota Probolinggo,2022,3,94325.6,6573.1,271,0.0
Kota Probolinggo,2022,4,103311.5,7199.400000000001,542,0.0
Kota Probolinggo,2023,1,69525.59999999999,4697.8,515,0.0
Kota Probolinggo,2023,2,243728.9,16468.399999999998,5,0.0
Kota Probolinggo,2023,3,122169.9,8254.9,393,0.0
Kota Probolinggo,2023,4,44098.6,2979.8,783,0.0
Kota Probolinggo,2024,1,40614.3,2707.7999999999997,222,0.0
Kota Probolinggo,2024,2,232196.2,15479.800000000001,500,0.0
Kota Probolinggo,2024,3,55452.2,3696.7,129,0.0
Kota Probolinggo,2024,4,46532.9,3102.3,325,0.0
Kota Surabaya,2022,2,6291106.5,438404.2,8140,0.0
Kota Surabaya,2022,3,5116241.7,356531.2,6508,0.0
Kota Surabaya,2022,4,8516955.7,593517.4,7540,0.0
Kota Surabaya,2023,1,6144716.6,415186.9,9758,0.0
Kota Surabaya,2023,2,5860627.2,395990.1,7684,0.0
Kota Surabaya,2023,3,5248078.7,354602.39999999997,7302,0.0
Kota Surabaya,2023,4,6017929.0,406619.6,9575,0.0
Kota Surabaya,2024,1,6531565.6,435434.2,10812,0.0
Kota Surabaya,2024,2,7381501.300000001,492098.39999999997,14788,0.0
Kota Surabaya,2024,3,10131633.0,675438.5,14008,0.0
Kota Surabaya,2024,4,7395382.8,493023.2,10293,0.0
