Kab/Kota,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Timur (Persen)
Kabupaten Pacitan,13.08
Kabupaten Ponorogo,9.11
Kabupaten Trenggalek,10.5
Kabupaten Tulungagung,6.28
Kabupaten Blitar,8.16
Kabupaten Kediri,9.95
Kabupaten Malang,8.98
Kabupaten Lumajang,8.65
Kabupaten Jember,9.01
Kabupaten Banyuwangi,6.54
Kabupaten Bondowoso,12.6
Kabupaten Situbondo,11.51
Kabupaten Probolinggo,16.45
Kabupaten Pasuruan,8.63
Kabupaten Sidoarjo,4.53
Kabupaten Mojokerto,9.37
Kabupaten Jombang,8.6
Kabupaten Nganjuk,10.17
Kabupaten Madiun,10.63
Kabupaten Magetan,9.32
Kabupaten Ngawi,13.81
Kabupaten Bojonegoro,11.69
Kabupaten Tuban,14.36
Kabupaten Lamongan,12.16
Kabupaten Gresik,10.32
Kabupaten Bangkalan,18.66
Kabupaten Sampang,20.83
Kabupaten Pamekasan,13.41
Kabupaten Sumenep,17.78
Kota Kediri,6.51
Kota Blitar,6.75
Kota Malang,3.91
Kota Probolinggo,6.18
Kota Pasuruan,6.32
Kota Mojokerto,5.57
Kota Madiun,4.38
Kota Surabaya,3.96
Kota Batu,3.06
Jawa Timur,9.79
